author,published_at,updated_at,like_count,text
@bhaskarff225,2024-01-14T04:47:30Z,2024-01-14T04:47:30Z,1,Jai shree Ram 🙏🙏🙏🙏
@anjalijain2670,2024-01-14T04:47:27Z,2024-01-14T04:47:27Z,1,जय श्री ram
@dhruvraj2812,2024-01-14T04:46:25Z,2024-01-14T04:46:25Z,1,The power of India song and power
@user-oc1mp9ng2f,2024-01-14T04:44:53Z,2024-01-14T04:44:53Z,1,This song equal to my heart beat
@OxAkashFacts,2024-01-14T04:44:13Z,2024-01-14T04:44:13Z,1,jay shree ram bat i m Musalman ❤
@sahilandamitsharma3419,2024-01-14T04:40:09Z,2024-01-14T04:40:09Z,1,Jai shree ram 🙏🚩🙏🚩🙏
@niteeshkumargoodsir8391,2024-01-14T04:39:13Z,2024-01-14T04:39:13Z,1,Nice
@user-xr2dy1gf2d,2024-01-14T04:39:11Z,2024-01-14T04:39:11Z,1,Jai sree Ram
@user-yg3hn4zb9d,2024-01-14T04:38:23Z,2024-01-14T04:38:23Z,0,Muslim hote nahi bna padhta hai😅
@ramrajkushvaha7479,2024-01-14T04:38:14Z,2024-01-14T04:38:14Z,1,🎉❤ उस मां को कोटि कोटि नमन है जो ऐसी पुत्री को जन्म दिया जो लाखो लोग पसंद करते है इस सॉन्ग को🎉🎉🎉🎉
@bhartigite2400,2024-01-14T04:38:01Z,2024-01-14T04:38:01Z,0,🎉🎉 Jay shree ram 🎉🎉❤❤
@gauravbhatnagar9088,2024-01-14T04:37:37Z,2024-01-14T04:37:37Z,1,"Sabhi k dil ko chune wala song,,kafi time baad koi song dil ko tuch hua....❤"
@rubeegupta1032,2024-01-14T04:36:17Z,2024-01-14T04:36:17Z,0,🙏♥️🥀🌹🪷🌸💐🙏👌👍
@SureshGupta-cm1iu,2024-01-14T04:35:43Z,2024-01-14T04:35:43Z,0,Jay shree Ram 🙏
@user-rn2gy8vx3j,2024-01-14T04:34:58Z,2024-01-14T04:34:58Z,0,Jay shree ram ❤❤❤❤❤🚩
@alone_boybikram,2024-01-14T04:34:53Z,2024-01-14T04:34:53Z,0,Jai shree ram❤<br>Jai shree ram❤<br>Jai shree ram❤<br>Jai shree ram❤<br>Jai shree ram❤<br>Jai shree ram❤<br>Jai shree ram❤<br>Jai shree ram❤<br>Jai shree ram❤<br>Jai shree ram❤<br>Jai shree ram❤<br>Jai shree ram❤<br>Jai shree ram❤<br>Jai shree ram❤<br>Jai shree ram❤<br>Jai shree ram❤<br>Jai shree ram❤<br>Jai shree ram❤<br>Jai shree ram❤<br>Jai shree ram❤<br>Jai shree ram❤<br>Jai shree ram❤<br>Jai shree ram❤<br>Jai shree ram❤<br>Jai shree ram❤<br>Jai shree ram❤
@raghavmishra9080,2024-01-14T04:34:26Z,2024-01-14T04:34:26Z,0,Jay shree ram🙏
@user-tf7vj8jm9d,2024-01-14T04:34:09Z,2024-01-14T04:34:09Z,0,रोहित।जयक्षीराम❤❤🙏🙏
@Monu_004,2024-01-14T04:33:49Z,2024-01-14T04:33:49Z,0,Sukoon ❤❤❤❤❤❤❤
@user-cx6xw2cr5h,2024-01-14T04:32:31Z,2024-01-14T04:32:31Z,0,Didi bhot acha ga leti ho ji sre ram
@mahipandit4815,2024-01-14T04:32:27Z,2024-01-14T04:32:27Z,0,Very very nice di I like this song 🙏🙏 Jai shree ram
@yuvarjbagule9407,2024-01-14T04:32:18Z,2024-01-14T04:32:18Z,0,Jay shree ram 🙏🙏🙏❤❤
@alpeshmasani5806,2024-01-14T04:32:17Z,2024-01-14T04:32:17Z,0,Bahut sundar ❤esa Bhajan bana ne k liye dhanyawad 🙏
@Roshniverma9734,2024-01-14T04:32:02Z,2024-01-14T04:32:02Z,0,Amazing you very very nice songs ❤❤❤😊😊
@Megatech.90,2024-01-14T04:31:09Z,2024-01-14T04:31:09Z,0,Can I Copyright your music ?
@allgamingboyr4252,2024-01-14T04:30:52Z,2024-01-14T04:30:52Z,0,Jai shree ram ❤❤❤❤❤
